"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15"
"1" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2" 0.986607142857143 0.0133928571428571 0 0 0 0 0 0 0 0 0 0 0 0 0
"3" 0.915178571428571 0.0848214285714286 0 0 0 0 0 0 0 0 0 0 0 0 0
"4" 0.825892857142857 0.174107142857143 0 0 0 0 0 0 0 0 0 0 0 0 0
"5" 0.816964285714286 0.183035714285714 0 0 0 0 0 0 0 0 0 0 0 0 0
"6" 0.767857142857143 0.232142857142857 0 0 0 0 0 0 0 0 0 0 0 0 0
"7" 0.758928571428571 0.241071428571429 0 0 0 0 0 0 0 0 0 0 0 0 0
"8" 0.745535714285714 0.254464285714286 0 0 0 0 0 0 0 0 0 0 0 0 0
"9" 0.65625 0.34375 0 0 0 0 0 0 0 0 0 0 0 0 0
"10" 0.647321428571428 0.352678571428571 0 0 0 0 0 0 0 0 0 0 0 0 0
"11" 0.642857142857143 0.357142857142857 0 0 0 0 0 0 0 0 0 0 0 0 0
"12" 0.633928571428571 0.366071428571429 0 0 0 0 0 0 0 0 0 0 0 0 0
"13" 0.629464285714286 0.370535714285714 0 0 0 0 0 0 0 0 0 0 0 0 0
"14" 0.625 0.375 0 0 0 0 0 0 0 0 0 0 0 0 0
"15" 0.598214285714286 0.401785714285714 0 0 0 0 0 0 0 0 0 0 0 0 0
"16" 0.571428571428571 0.428571428571429 0 0 0 0 0 0 0 0 0 0 0 0 0
"17" 0.553571428571428 0.446428571428571 0 0 0 0 0 0 0 0 0 0 0 0 0
"18" 0.549107142857143 0.450892857142857 0 0 0 0 0 0 0 0 0 0 0 0 0
"19" 0.53125 0.46875 0 0 0 0 0 0 0 0 0 0 0 0 0
"20" 0.504464285714286 0.495535714285714 0 0 0 0 0 0 0 0 0 0 0 0 0
"21" 0.491071428571429 0.508928571428571 0 0 0 0 0 0 0 0 0 0 0 0 0
"22" 0.473214285714286 0.526785714285714 0 0 0 0 0 0 0 0 0 0 0 0 0
"23" 0.459821428571429 0.540178571428571 0 0 0 0 0 0 0 0 0 0 0 0 0
